name,region,prefix,set_code,set_type,release_date,set_card_list_name,set_card_gallery_name,image_url
Dawn of Majesty,Japanese,DAMA-JP,DAMA,Booster pack,2021-04-17,Set Card Lists:Dawn of Majesty (OCG-JP),Set Card Galleries:Dawn of Majesty (OCG-JP),https://ms.yugipedia.com//c/cc/DAMA-BoosterEN.png
Dawn of Majesty +1 Bonus Pack,Japanese,DAMA-JPS,DAMA,Booster pack,2021-04-17,Set Card Lists:Dawn of Majesty +1 Bonus Pack (OCG-JP),Set Card Galleries:Dawn of Majesty +1 Bonus Pack (OCG-JP),https://ms.yugipedia.com//f/f5/DAMA-BoosterJP-BonusPack.png
Deck Custom Pack 01,Japanese,DC01,DC01,Booster pack,2014-04-19,Set Card Lists:Deck Custom Pack 01 (OCG-JP),Set Card Galleries:Deck Custom Pack 01 (OCG-JP),https://ms.yugipedia.com//f/ff/DC01-BoosterJP.png
Deck-Build Pack: Amazing Defenders,Japanese,DBAD-JP,DBAD,Booster pack,2022-08-20,Set Card Lists:Deck-Build Pack: Amazing Defenders (OCG-JP),Set Card Galleries:Deck-Build Pack: Amazing Defenders (OCG-JP),https://ms.yugipedia.com//1/10/DBAD-BoosterJP.png
Deck-Build Pack: Ancient Guardians,Japanese,DBAG-JP,DBAG,Booster pack,2021-03-06,Set Card Lists:Deck-Build Pack: Ancient Guardians (OCG-JP),Set Card Galleries:Deck-Build Pack: Ancient Guardians (OCG-JP),https://ms.yugipedia.com//2/23/DBAG-BoosterJP.png
Deck-Build Pack: Crossover Breakers,Japanese,DBCB-JP,DBCB,Booster pack,2024-08-24,Set Card Lists:Deck-Build Pack: Crossover Breakers (OCG-JP),Set Card Galleries:Deck-Build Pack: Crossover Breakers (OCG-JP),https://ms.yugipedia.com//7/7a/DBCB-BoosterJP.png
Deck-Build Pack: Dark Saviors,Japanese,DBDS-JP,DBDS,Booster pack,2018-02-24,Set Card Lists:Deck-Build Pack: Dark Saviors (OCG-JP),Set Card Galleries:Deck-Build Pack: Dark Saviors (OCG-JP),https://ms.yugipedia.com//4/4b/DBDS-BoosterJP.png
Deck-Build Pack: Genesis Impactors,Japanese,DBGI-JP,DBGI,Booster pack,2020-09-12,Set Card Lists:Deck-Build Pack: Genesis Impactors (OCG-JP),Set Card Galleries:Deck-Build Pack: Genesis Impactors (OCG-JP),https://ms.yugipedia.com//e/e2/DBGI-BoosterJP.png
Deck-Build Pack: Grand Creators,Japanese,DBGC-JP,DBGC,Booster pack,2021-08-28,Set Card Lists:Deck-Build Pack: Grand Creators (OCG-JP),Set Card Galleries:Deck-Build Pack: Grand Creators (OCG-JP),https://ms.yugipedia.com//6/6d/DBGC-BoosterJP.png
Deck-Build Pack: Hidden Summoners,Japanese,DBHS-JP,DBHS,Booster pack,2018-08-04,Set Card Lists:Deck-Build Pack: Hidden Summoners (OCG-JP),Set Card Galleries:Deck-Build Pack: Hidden Summoners (OCG-JP),https://ms.yugipedia.com//8/8f/DBHS-BoosterJP.png
Deck-Build Pack: Infinity Chasers,Japanese,DBIC-JP,DBIC,Booster pack,2019-02-23,Set Card Lists:Deck-Build Pack: Infinity Chasers (OCG-JP),Set Card Galleries:Deck-Build Pack: Infinity Chasers (OCG-JP),https://ms.yugipedia.com//2/2a/DBIC-BoosterJP.png
Deck-Build Pack: Justice Hunters,Japanese,DBJH-JP,DBJH,Booster pack,2025-03-22,Set Card Lists:Deck-Build Pack: Justice Hunters (OCG-JP),Set Card Galleries:Deck-Build Pack: Justice Hunters (OCG-JP),https://ms.yugipedia.com//2/24/DBJH-BoosterJP.png
Deck-Build Pack: Mystic Fighters,Japanese,DBMF-JP,DBMF,Booster pack,2019-08-03,Set Card Lists:Deck-Build Pack: Mystic Fighters (OCG-JP),Set Card Galleries:Deck-Build Pack: Mystic Fighters (OCG-JP),https://ms.yugipedia.com//0/07/DBMF-BoosterJP.png
Deck-Build Pack: Secret Slayers,Japanese,DBSS-JP,DBSS,Booster pack,2020-03-07,Set Card Lists:Deck-Build Pack: Secret Slayers (OCG-JP),Set Card Galleries:Deck-Build Pack: Secret Slayers (OCG-JP),https://ms.yugipedia.com//2/27/DBSS-BoosterJP.png
