name,region,prefix,set_code,set_type,release_date,set_card_list_name,set_card_gallery_name,image_url
Tournament Pack 2023 Vol.4,Japanese,23TP-JP4,23TP-JP4,Booster pack,2023-10-01,Set Card Lists:Tournament Pack 2023 Vol.4 (OCG-JP),Set Card Galleries:Tournament Pack 2023 Vol.4 (OCG-JP),https://ms.yugipedia.com//f/f0/23TP-BoosterJP-Vol4.png
Tournament Pack 2024 Vol.1,Japanese,24TP-JP1,24TP-JP1,Booster pack,2024-01-01,Set Card Lists:Tournament Pack 2024 Vol.1 (OCG-JP),Set Card Galleries:Tournament Pack 2024 Vol.1 (OCG-JP),https://ms.yugipedia.com//9/97/24TP-BoosterJP-Vol1.png
Tournament Pack 2024 Vol.2,Japanese,24TP-JP2,24TP-JP2,Booster pack,2024-04-01,Set Card Lists:Tournament Pack 2024 Vol.2 (OCG-JP),Set Card Galleries:Tournament Pack 2024 Vol.2 (OCG-JP),https://ms.yugipedia.com//0/06/24TP-BoosterJP-Vol2.png
Tournament Pack 2024 Vol.3,Japanese,24TP-JP3,24TP-JP3,Booster pack,2024-07-01,Set Card Lists:Tournament Pack 2024 Vol.3 (OCG-JP),Set Card Galleries:Tournament Pack 2024 Vol.3 (OCG-JP),https://ms.yugipedia.com//a/a5/24TP-BoosterJP-Vol3.png
Tournament Pack 2024 Vol.4,Japanese,24TP-JP4,24TP-JP4,Booster pack,2024-10-01,Set Card Lists:Tournament Pack 2024 Vol.4 (OCG-JP),Set Card Galleries:Tournament Pack 2024 Vol.4 (OCG-JP),https://ms.yugipedia.com//e/e2/24TP-BoosterJP-Vol4.png
Tournament Pack 2024 Vol.5,Japanese,24TP-JP5,24TP-JP5,Booster pack,2025-01-01,Set Card Lists:Tournament Pack 2024 Vol.5 (OCG-JP),Set Card Galleries:Tournament Pack 2024 Vol.5 (OCG-JP),https://ms.yugipedia.com//f/f1/24TP-BoosterJP-Vol5.png
Tournament Pack 2025 Vol.1,Japanese,25TP-JP1,25TP-JP1,Booster pack,2025-04-01,Set Card Lists:Tournament Pack 2025 Vol.1 (OCG-JP),,https://ms.yugipedia.com//1/15/25TP-BoosterJP-Vol1.png
Transcendosaurus Duel Set,Japanese,23YJ-JPT,23YJ,Promotional card,2023-05-28,Set Card Lists:Transcendosaurus Duel Set (OCG-JP),Set Card Galleries:Transcendosaurus Duel Set (OCG-JP),https://ms.yugipedia.com//7/70/TranscendosaurusDuelSet-PromoJP.png
TV Tokyo Festival promotional card,Japanese,PRTX-JP,PRTX,Promotional card,2014-04-28,Set Card Lists:TV Tokyo Festival promotional card (OCG-JP),Set Card Galleries:TV Tokyo Festival promotional card (OCG-JP),https://ms.yugipedia.com//4/4e/PRTX-PromoJP.png
Ultimate Special Pack,Japanese,ULSP-JP,ULSP,Booster pack,2025-04-26,Set Card Lists:Ultimate Special Pack (OCG-JP),Set Card Galleries:Ultimate Special Pack (OCG-JP),https://ms.yugipedia.com//1/1d/ULSP-BoosterJP.png
V Jump April 2008 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2008-02-21,Set Card Lists:V Jump April 2008 promotional card (OCG-JP),Set Card Galleries:V Jump April 2008 promotional card (OCG-JP),https://ms.yugipedia.com//7/74/VJMP-2008-4-Cover.png
V Jump April 2009 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2009-02-21,Set Card Lists:V Jump April 2009 promotional card (OCG-JP),Set Card Galleries:V Jump April 2009 promotional card (OCG-JP),https://ms.yugipedia.com//d/db/VJMP-2009-4-Cover.png
V Jump April 2010 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2010-02-20,Set Card Lists:V Jump April 2010 promotional card (OCG-JP),Set Card Galleries:V Jump April 2010 promotional card (OCG-JP),https://ms.yugipedia.com//3/3e/VJMP-2010-4-Cover.png
V Jump April 2011 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2011-02-21,Set Card Lists:V Jump April 2011 promotional card (OCG-JP),Set Card Galleries:V Jump April 2011 promotional card (OCG-JP),https://ms.yugipedia.com//4/4a/VJMP-2011-4-Cover.png
V Jump April 2012 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2012-02-21,Set Card Lists:V Jump April 2012 promotional card (OCG-JP),Set Card Galleries:V Jump April 2012 promotional card (OCG-JP),https://ms.yugipedia.com//e/eb/VJMP-2012-4-Cover.png
V Jump April 2013 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2013-02-21,Set Card Lists:V Jump April 2013 promotional card (OCG-JP),Set Card Galleries:V Jump April 2013 promotional card (OCG-JP),https://ms.yugipedia.com//f/fc/VJMP-2013-4-Cover.png
V Jump April 2013 Tokens,Japanese,,,Magazine promotional card,2013-02-21,Set Card Lists:V Jump April 2013 Tokens (OCG-JP),Set Card Galleries:V Jump April 2013 Tokens (OCG-JP),https://ms.yugipedia.com//f/fc/VJMP-2013-4-Cover.png
V Jump April 2014 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2014-02-21,Set Card Lists:V Jump April 2014 promotional card (OCG-JP),Set Card Galleries:V Jump April 2014 promotional card (OCG-JP),https://ms.yugipedia.com//f/f4/VJMP-2014-4-Cover.png
V Jump April 2015 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2015-02-21,Set Card Lists:V Jump April 2015 promotional card (OCG-JP),Set Card Galleries:V Jump April 2015 promotional card (OCG-JP),https://ms.yugipedia.com//b/b3/VJMP-2015-4-Cover.png
V Jump April 2016 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2016-02-20,Set Card Lists:V Jump April 2016 promotional card (OCG-JP),Set Card Galleries:V Jump April 2016 promotional card (OCG-JP),https://ms.yugipedia.com//8/86/VJMP-2016-4-Cover.png
V Jump April 2017 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2017-02-21,Set Card Lists:V Jump April 2017 promotional card (OCG-JP),Set Card Galleries:V Jump April 2017 promotional card (OCG-JP),https://ms.yugipedia.com//e/ef/VJMP-2017-4-Cover.png
V Jump April 2018 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2018-02-21,Set Card Lists:V Jump April 2018 promotional card (OCG-JP),Set Card Galleries:V Jump April 2018 promotional card (OCG-JP),https://ms.yugipedia.com//d/d3/VJMP-2018-4-Cover.png
V Jump April 2019 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2019-02-21,Set Card Lists:V Jump April 2019 promotional card (OCG-JP),Set Card Galleries:V Jump April 2019 promotional card (OCG-JP),https://ms.yugipedia.com//e/e3/VJMP-2019-4-Cover.png
V Jump April 2020 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2020-02-21,Set Card Lists:V Jump April 2020 promotional card (OCG-JP),Set Card Galleries:V Jump April 2020 promotional card (OCG-JP),https://ms.yugipedia.com//0/05/VJMP-2020-4-Cover.png
V Jump April 2021 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2021-02-20,Set Card Lists:V Jump April 2021 promotional card (OCG-JP),Set Card Galleries:V Jump April 2021 promotional card (OCG-JP),https://ms.yugipedia.com//3/36/VJMP-2021-4-Cover.png
V Jump April 2022 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2022-02-21,Set Card Lists:V Jump April 2022 promotional card (OCG-JP),Set Card Galleries:V Jump April 2022 promotional card (OCG-JP),https://ms.yugipedia.com//b/b3/VJMP-2022-4-Cover.png
V Jump April 2023 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2023-02-21,Set Card Lists:V Jump April 2023 promotional card (OCG-JP),Set Card Galleries:V Jump April 2023 promotional card (OCG-JP),https://ms.yugipedia.com//8/81/VJMP-2023-4-Cover.png
V Jump April 2024 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2024-02-21,Set Card Lists:V Jump April 2024 promotional card (OCG-JP),Set Card Galleries:V Jump April 2024 promotional card (OCG-JP),https://ms.yugipedia.com//0/01/VJMP-2024-4-Cover.png
V Jump April 2025 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2025-02-20,Set Card Lists:V Jump April 2025 promotional card (OCG-JP),Set Card Galleries:V Jump April 2025 promotional card (OCG-JP),https://ms.yugipedia.com//6/6c/VJMP-2025-4-Cover.png
V Jump August 1999 Special Present,Japanese,,,Magazine promotional card,1999-06-21,Set Card Lists:V Jump August 1999 Special Present (OCG-JP),Set Card Galleries:V Jump August 1999 Special Present (OCG-JP),
V Jump August 1999 Special Present Set A,Japanese,,,Magazine promotional card,1999-06-21,Set Card Lists:V Jump August 1999 Special Present Set A (OCG-JP),Set Card Galleries:V Jump August 1999 Special Present Set A (OCG-JP),https://ms.yugipedia.com//c/cf/Set_A.jpg
V Jump August 1999 Special Present Set B,Japanese,,,Magazine promotional card,1999-06-21,Set Card Lists:V Jump August 1999 Special Present Set B (OCG-JP),Set Card Galleries:V Jump August 1999 Special Present Set B (OCG-JP),https://ms.yugipedia.com//7/79/Set_B.jpg
V Jump August 2014 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2014-06-21,Set Card Lists:V Jump August 2014 promotional card (OCG-JP),Set Card Galleries:V Jump August 2014 promotional card (OCG-JP),https://ms.yugipedia.com//d/d6/VJMP-2014-8-Cover.png
V Jump August 2015 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2015-06-20,Set Card Lists:V Jump August 2015 promotional card (OCG-JP),Set Card Galleries:V Jump August 2015 promotional card (OCG-JP),https://ms.yugipedia.com//f/f5/VJMP-2015-8-Cover.png
V Jump August 2016 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2016-06-21,Set Card Lists:V Jump August 2016 promotional card (OCG-JP),Set Card Galleries:V Jump August 2016 promotional card (OCG-JP),https://ms.yugipedia.com//5/59/VJMP-2016-8-Cover.png
V Jump August 2017 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2017-06-21,Set Card Lists:V Jump August 2017 promotional card (OCG-JP),Set Card Galleries:V Jump August 2017 promotional card (OCG-JP),https://ms.yugipedia.com//8/88/VJMP-2017-8-Cover.png
V Jump August 2018 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2018-06-21,Set Card Lists:V Jump August 2018 promotional card (OCG-JP),Set Card Galleries:V Jump August 2018 promotional card (OCG-JP),https://ms.yugipedia.com//1/15/VJMP-2018-8-Cover.png
V Jump August 2019 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2019-06-21,Set Card Lists:V Jump August 2019 promotional card (OCG-JP),Set Card Galleries:V Jump August 2019 promotional card (OCG-JP),https://ms.yugipedia.com//0/0f/VJMP-2019-8-Cover.png
V Jump August 2020 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2020-06-19,Set Card Lists:V Jump August 2020 promotional card (OCG-JP),Set Card Galleries:V Jump August 2020 promotional card (OCG-JP),https://ms.yugipedia.com//6/6a/VJMP-2020-8-Cover.png
V Jump August 2021 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2021-06-21,Set Card Lists:V Jump August 2021 promotional card (OCG-JP),Set Card Galleries:V Jump August 2021 promotional card (OCG-JP),https://ms.yugipedia.com//b/b1/VJMP-2021-8-Cover.png
V Jump August 2022 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2022-06-21,Set Card Lists:V Jump August 2022 promotional card (OCG-JP),Set Card Galleries:V Jump August 2022 promotional card (OCG-JP),https://ms.yugipedia.com//3/31/VJMP-2022-8-Cover.png
V Jump August 2023 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2023-06-21,Set Card Lists:V Jump August 2023 promotional card (OCG-JP),Set Card Galleries:V Jump August 2023 promotional card (OCG-JP),https://ms.yugipedia.com//f/f1/VJMP-2023-8-Cover.png
V Jump August 2024 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2024-06-21,Set Card Lists:V Jump August 2024 promotional card (OCG-JP),Set Card Galleries:V Jump August 2024 promotional card (OCG-JP),https://ms.yugipedia.com//3/3f/VJMP-2024-8-Cover.png
V Jump August 2025 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2025-06-20,Set Card Lists:V Jump August 2025 promotional card (OCG-JP),,
V Jump Card Festa 2008 promotional card,Japanese,VJCF-JP,VJCF,,2008-08-21,Set Card Lists:V Jump Card Festa 2008 promotional card (OCG-JP),Set Card Galleries:V Jump Card Festa 2008 promotional card (OCG-JP),https://ms.yugipedia.com//b/bf/VJCF-PromoJP-2008.png
V Jump Card Festa 2009 promotional card,Japanese,VJCF-JP,VJCF,,2009-08-21,Set Card Lists:V Jump Card Festa 2009 promotional card (OCG-JP),Set Card Galleries:V Jump Card Festa 2009 promotional card (OCG-JP),https://ms.yugipedia.com//4/46/VJCF-PromoJP-2009.png
V Jump Card Festa 2010 promotional card,Japanese,VJCF-JP,VJCF,,2010-08-21,Set Card Lists:V Jump Card Festa 2010 promotional card (OCG-JP),Set Card Galleries:V Jump Card Festa 2010 promotional card (OCG-JP),https://ms.yugipedia.com//0/01/VJCF-PromoJP-2010.png
V Jump Card Festa promotional cards,Japanese,VJCF-JP,VJCF,,2008-08-21,Set Card Lists:V Jump Card Festa promotional cards (OCG-JP),Set Card Galleries:V Jump Card Festa promotional cards (OCG-JP),https://ms.yugipedia.com//b/b0/VJCF-PromoJP.jpg
V Jump December 2015 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2015-10-21,Set Card Lists:V Jump December 2015 promotional card (OCG-JP),Set Card Galleries:V Jump December 2015 promotional card (OCG-JP),https://ms.yugipedia.com//9/9d/VJMP-2015-12-Cover.png
V Jump December 2016 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2016-10-21,Set Card Lists:V Jump December 2016 promotional card (OCG-JP),Set Card Galleries:V Jump December 2016 promotional card (OCG-JP),https://ms.yugipedia.com//1/12/VJMP-2016-12-Cover.png
V Jump December 2017 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2017-10-21,Set Card Lists:V Jump December 2017 promotional card (OCG-JP),Set Card Galleries:V Jump December 2017 promotional card (OCG-JP),https://ms.yugipedia.com//4/4b/VJMP-2017-12-Cover.png
V Jump December 2018 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2018-10-20,Set Card Lists:V Jump December 2018 promotional card (OCG-JP),Set Card Galleries:V Jump December 2018 promotional card (OCG-JP),https://ms.yugipedia.com//6/6a/VJMP-2018-12-Cover.png
V Jump December 2019 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2019-10-21,Set Card Lists:V Jump December 2019 promotional card (OCG-JP),Set Card Galleries:V Jump December 2019 promotional card (OCG-JP),https://ms.yugipedia.com//1/14/VJMP-2019-12-Cover.png
V Jump December 2020 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2020-10-21,Set Card Lists:V Jump December 2020 promotional card (OCG-JP),Set Card Galleries:V Jump December 2020 promotional card (OCG-JP),https://ms.yugipedia.com//1/1d/VJMP-2020-12-Cover.png
V Jump December 2021 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2021-10-21,Set Card Lists:V Jump December 2021 promotional card (OCG-JP),Set Card Galleries:V Jump December 2021 promotional card (OCG-JP),https://ms.yugipedia.com//a/a4/VJMP-2021-12-Cover.png
V Jump December 2022 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2022-10-21,Set Card Lists:V Jump December 2022 promotional card (OCG-JP),Set Card Galleries:V Jump December 2022 promotional card (OCG-JP),https://ms.yugipedia.com//e/ed/VJMP-2022-12-Cover.png
V Jump December 2023 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2023-10-20,Set Card Lists:V Jump December 2023 promotional card (OCG-JP),Set Card Galleries:V Jump December 2023 promotional card (OCG-JP),https://ms.yugipedia.com//c/c3/VJMP-2023-12-Cover.png
V Jump December 2024 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2024-10-21,Set Card Lists:V Jump December 2024 promotional card (OCG-JP),Set Card Galleries:V Jump December 2024 promotional card (OCG-JP),https://ms.yugipedia.com//4/4c/VJMP-2024-12-Cover.png
V Jump Edition,Japanese,VE01-JP,VE01,Booster pack,2010-05-21,Set Card Lists:V Jump Edition (OCG-JP),Set Card Galleries:V Jump Edition (OCG-JP),https://ms.yugipedia.com//8/83/VE01-BoosterJP.jpg
V Jump Edition (series),Japanese,,,,,Set Card Lists:V Jump Edition (series) (OCG-JP),Set Card Galleries:V Jump Edition (series) (OCG-JP),
V Jump Edition 10,Japanese,VE10-JP,VE10,Booster pack,2014-01-11,Set Card Lists:V Jump Edition 10 (OCG-JP),Set Card Galleries:V Jump Edition 10 (OCG-JP),https://ms.yugipedia.com//b/b2/VE10-BoosterJP.png
V Jump Edition 2,Japanese,VE02-JP,VE02,Booster pack,2010-06-21,Set Card Lists:V Jump Edition 2 (OCG-JP),Set Card Galleries:V Jump Edition 2 (OCG-JP),https://ms.yugipedia.com//b/b4/VE02-BoosterJP.jpg
V Jump Edition 2 Token Pack,Japanese,TKN3-JP,TKN3,Magazine promotional card,2010-06-21,Set Card Lists:V Jump Edition 2 Token Pack (OCG-JP),Set Card Galleries:V Jump Edition 2 Token Pack (OCG-JP),https://ms.yugipedia.com//3/34/TKN3-PromoJP.jpg
V Jump Edition 3,Japanese,VE03-JP,VE03,Booster pack,2010-10-21,Set Card Lists:V Jump Edition 3 (OCG-JP),Set Card Galleries:V Jump Edition 3 (OCG-JP),https://ms.yugipedia.com//b/b5/VE03-BoosterJP.jpg
V Jump Edition 4,Japanese,VE04-JP,VE04,Booster pack,2010-10-21,Set Card Lists:V Jump Edition 4 (OCG-JP),Set Card Galleries:V Jump Edition 4 (OCG-JP),https://ms.yugipedia.com//6/66/VE04-BoosterJP.jpg
V Jump Edition 5,Japanese,VE05-JP,VE05,Booster pack,2011-05-21,Set Card Lists:V Jump Edition 5 (OCG-JP),Set Card Galleries:V Jump Edition 5 (OCG-JP),https://ms.yugipedia.com//a/af/VE05-BoosterJP.jpg
V Jump Edition 6,Japanese,VE06-JP,VE06,Booster pack,2011-10-21,Set Card Lists:V Jump Edition 6 (OCG-JP),Set Card Galleries:V Jump Edition 6 (OCG-JP),https://ms.yugipedia.com//6/6b/VE06-BoosterJP.jpg
V Jump Edition 7,Japanese,VE07-JP,VE07,Booster pack,2012-05-21,Set Card Lists:V Jump Edition 7 (OCG-JP),Set Card Galleries:V Jump Edition 7 (OCG-JP),https://ms.yugipedia.com//f/f9/VE07-BoosterJP.jpg
V Jump Edition 8,Japanese,VE08-JP,VE08,Booster pack,2013-01-11,Set Card Lists:V Jump Edition 8 (OCG-JP),Set Card Galleries:V Jump Edition 8 (OCG-JP),https://ms.yugipedia.com//7/7e/VE08-BoosterJP.png
V Jump Edition 9,Japanese,VE09-JP,VE09,Booster pack,2013-08-11,Set Card Lists:V Jump Edition 9 (OCG-JP),Set Card Galleries:V Jump Edition 9 (OCG-JP),https://ms.yugipedia.com//9/9c/VE09-BoosterJP.png
V Jump Edition Pendulum Victory Pack,Japanese,VE11-JP,VE11,Booster pack,2014-08-11,Set Card Lists:V Jump Edition Pendulum Victory Pack (OCG-JP),Set Card Galleries:V Jump Edition Pendulum Victory Pack (OCG-JP),https://ms.yugipedia.com//6/6a/VE11-BoosterJP.png
V Jump Fall 2005 subscription bonus,Japanese,VJC-JP,VJC,Magazine promotional card,2005-08-20,Set Card Lists:V Jump Fall 2005 subscription bonus (OCG-JP),Set Card Galleries:V Jump Fall 2005 subscription bonus (OCG-JP),https://ms.yugipedia.com//f/f1/VJCSubscriptionBonus-Fall2005-Booster.png
V Jump Fall 2006 subscription bonus,Japanese,VJMP-JP,VJMP,Magazine promotional card,2006-08-19,Set Card Lists:V Jump Fall 2006 subscription bonus (OCG-JP),Set Card Galleries:V Jump Fall 2006 subscription bonus (OCG-JP),https://ms.yugipedia.com//c/c6/VJMPSubscriptionBonus-Fall2006-Booster.png
V Jump Fall 2007 subscription bonus,Japanese,VJMP-JP,VJMP,Magazine promotional card,2007-09-21,Set Card Lists:V Jump Fall 2007 subscription bonus (OCG-JP),Set Card Galleries:V Jump Fall 2007 subscription bonus (OCG-JP),https://ms.yugipedia.com//e/ec/VJMPSubscriptionBonus-Fall2007-Booster.png
V Jump Fall 2008 subscription bonus,Japanese,VJMP-JP,VJMP,Magazine promotional card,2008-09-21,Set Card Lists:V Jump Fall 2008 subscription bonus (OCG-JP),Set Card Galleries:V Jump Fall 2008 subscription bonus (OCG-JP),https://ms.yugipedia.com//0/0c/VJMPSubscriptionBonus-Fall2008-Booster.png
V Jump Fall 2009 subscription bonus,Japanese,VJMP-JP,VJMP,Magazine promotional card,2009-09-21,Set Card Lists:V Jump Fall 2009 subscription bonus (OCG-JP),Set Card Galleries:V Jump Fall 2009 subscription bonus (OCG-JP),https://ms.yugipedia.com//9/90/VJMPSubscriptionBonus-Fall2009-Booster.png
V Jump Fall 2010 subscription bonus,Japanese,VJMP-JP,VJMP,Magazine promotional card,2010-09-21,Set Card Lists:V Jump Fall 2010 subscription bonus (OCG-JP),Set Card Galleries:V Jump Fall 2010 subscription bonus (OCG-JP),https://ms.yugipedia.com//9/98/VJMPSubscriptionBonus-Fall2010-Booster.png
V Jump Fall 2011 subscription bonus,Japanese,VJMP-JP,VJMP,Magazine promotional card,2011-09-21,Set Card Lists:V Jump Fall 2011 subscription bonus (OCG-JP),Set Card Galleries:V Jump Fall 2011 subscription bonus (OCG-JP),https://ms.yugipedia.com//d/df/VJMPSubscriptionBonus-Fall2011-Booster.png
V Jump Fall 2012 subscription bonus,Japanese,VJMP-JP,VJMP,Magazine promotional card,2012-09-21,Set Card Lists:V Jump Fall 2012 subscription bonus (OCG-JP),Set Card Galleries:V Jump Fall 2012 subscription bonus (OCG-JP),https://ms.yugipedia.com//7/76/VJMPSubscriptionBonus-Fall2012-Booster.png
V Jump Fall 2013 subscription bonus,Japanese,VJMP-JP,VJMP,Magazine promotional card,2013-09-21,Set Card Lists:V Jump Fall 2013 subscription bonus (OCG-JP),Set Card Galleries:V Jump Fall 2013 subscription bonus (OCG-JP),https://ms.yugipedia.com//0/0b/VJMPSubscriptionBonus-Fall2013.png
V Jump Fall 2014 subscription bonus,Japanese,VJMP-JP,VJMP,Magazine promotional card,2014-09-20,Set Card Lists:V Jump Fall 2014 subscription bonus (OCG-JP),Set Card Galleries:V Jump Fall 2014 subscription bonus (OCG-JP),https://ms.yugipedia.com//8/83/VJMPSubscriptionBonus-Fall2014-Booster.png
V Jump Fall 2015 subscription bonus,Japanese,VJMP-JP,VJMP,Magazine promotional card,2015-09-19,Set Card Lists:V Jump Fall 2015 subscription bonus (OCG-JP),Set Card Galleries:V Jump Fall 2015 subscription bonus (OCG-JP),https://ms.yugipedia.com//0/07/VJMPSubscriptionBonus-Fall2015-Booster.png
V Jump Fall 2016 subscription bonus,Japanese,VJMP-JP,VJMP,Magazine promotional card,2016-09-21,Set Card Lists:V Jump Fall 2016 subscription bonus (OCG-JP),Set Card Galleries:V Jump Fall 2016 subscription bonus (OCG-JP),https://ms.yugipedia.com//7/7f/VJMPSubscriptionBonus-Fall2016-Booster.png
V Jump Fall 2017 subscription bonus,Japanese,VJMP-JP,VJMP,Magazine promotional card,2017-09-21,Set Card Lists:V Jump Fall 2017 subscription bonus (OCG-JP),Set Card Galleries:V Jump Fall 2017 subscription bonus (OCG-JP),https://ms.yugipedia.com//2/2b/VJMPSubscriptionBonus-Fall2017-Booster.png
V Jump Fall 2018 subscription bonus,Japanese,VJMP-JP,VJMP,Magazine promotional card,2018-09-21,Set Card Lists:V Jump Fall 2018 subscription bonus (OCG-JP),Set Card Galleries:V Jump Fall 2018 subscription bonus (OCG-JP),https://ms.yugipedia.com//2/25/VJMPSubscriptionBonus-Fall2018-Booster.png
V Jump Fall 2019 subscription bonus,Japanese,VJMP-JP,VJMP,Magazine promotional card,2019-09-21,Set Card Lists:V Jump Fall 2019 subscription bonus (OCG-JP),Set Card Galleries:V Jump Fall 2019 subscription bonus (OCG-JP),https://ms.yugipedia.com//7/7d/VJMPSubscriptionBonus-Fall2019-Booster.png
V Jump Fall 2020 subscription bonus,Japanese,VJMP-JP,VJMP,Magazine promotional card,2020-09-19,Set Card Lists:V Jump Fall 2020 subscription bonus (OCG-JP),,https://ms.yugipedia.com//4/48/VJMPSubscriptionBonus-Fall2020-Booster.png
V Jump Fall 2021 subscription bonus,Japanese,VJMP-JP,VJMP,Magazine promotional card,2021-09-21,Set Card Lists:V Jump Fall 2021 subscription bonus (OCG-JP),,https://ms.yugipedia.com//b/b6/VJMPSubscriptionBonus-Fall2021-Booster.png
V Jump Fall 2022 subscription bonus,Japanese,VJMP-JP,VJMP,Magazine promotional card,2022-09-21,Set Card Lists:V Jump Fall 2022 subscription bonus (OCG-JP),,https://ms.yugipedia.com//c/cf/VJMPSubscriptionBonus-Fall2022-Booster.png
V Jump Fall 2023 subscription bonus,Japanese,VJMP-JP,VJMP,Magazine promotional card,2023-09-21,Set Card Lists:V Jump Fall 2023 subscription bonus (OCG-JP),Set Card Galleries:V Jump Fall 2023 subscription bonus (OCG-JP),https://ms.yugipedia.com//b/bb/VJMPSubscriptionBonus-Fall2023-Booster.png
V Jump Fall 2024 subscription bonus,Japanese,VJMP-JP,VJMP,Magazine promotional card,2024-09-21,Set Card Lists:V Jump Fall 2024 subscription bonus (OCG-JP),Set Card Galleries:V Jump Fall 2024 subscription bonus (OCG-JP),https://ms.yugipedia.com//d/d9/VJMPSubscriptionBonus-Fall2024-Booster.png
V Jump Fall 2025 subscription bonus,Japanese,VJMP-JP,VJMP,Magazine promotional card,2025-09-20,Set Card Lists:V Jump Fall 2025 subscription bonus (OCG-JP),,
V Jump February 2002 promotional card,Japanese,VJ-JP,VJ,Magazine promotional card,2001-12-21,Set Card Lists:V Jump February 2002 promotional card (OCG-JP),Set Card Galleries:V Jump February 2002 promotional card (OCG-JP),https://ms.yugipedia.com//1/19/VJ-2002-2-Cover.png
V Jump February 2005 promotional card,Japanese,VJC-JP,VJC,Magazine promotional card,2004-12-20,Set Card Lists:V Jump February 2005 promotional card (OCG-JP),Set Card Galleries:V Jump February 2005 promotional card (OCG-JP),https://ms.yugipedia.com//d/de/VJC-2005-2-Cover.png
V Jump February 2006 promotional card,Japanese,VJC-JP,VJC,Magazine promotional card,2005-12-17,Set Card Lists:V Jump February 2006 promotional card (OCG-JP),Set Card Galleries:V Jump February 2006 promotional card (OCG-JP),https://ms.yugipedia.com//d/dc/VJC-2006-2-Cover.png
V Jump February 2007 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2006-12-16,Set Card Lists:V Jump February 2007 promotional card (OCG-JP),Set Card Galleries:V Jump February 2007 promotional card (OCG-JP),https://ms.yugipedia.com//e/e2/VJMP-2007-2-Cover.png
V Jump February 2008 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2007-12-21,Set Card Lists:V Jump February 2008 promotional card (OCG-JP),Set Card Galleries:V Jump February 2008 promotional card (OCG-JP),https://ms.yugipedia.com//5/56/VJMP-2008-2-Cover.png
V Jump February 2009 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2008-12-20,Set Card Lists:V Jump February 2009 promotional card (OCG-JP),Set Card Galleries:V Jump February 2009 promotional card (OCG-JP),https://ms.yugipedia.com//8/81/VJMP-2009-2-Cover.png
V Jump February 2010 promotional card,Japanese,VJMP-JP,VJMP,Magazine promotional card,2009-12-19,Set Card Lists:V Jump February 2010 promotional card (OCG-JP),Set Card Galleries:V Jump February 2010 promotional card (OCG-JP),https://ms.yugipedia.com//6/6f/VJMP-2010-2-Cover.png
